table_name,constraint_type,columns
permissions,unique,"domain,key"
roles_permissions,unique,"role_id,permission_id"
meal_type_dish_constraints,unique,"meal_type_id,dish_type_id"
recipe_ingredients,unique,"recipe_id,ingredient_id"
recipe_meal_types,unique,"recipe_id,meal_type_id"
schedule_days,unique,"schedule_id,date"
schedule_meals,unique,"schedule_day_id,meal_type_id"
meal_recipes,unique,"schedule_meal_id,recipe_id"
blocked_meals,unique,"generation_settings_id,date,meal_type_id"
meal_types,unique,"workspace_id,name"
dish_types,unique,"workspace_id,name"
recipes,unique,"workspace_id,name"
ingredients,unique,"workspace_id,name"
schedules,unique,"workspace_id,name"
ingredient_variants,unique,"workspace_id,variant"
workspace_users,unique,"user_id,workspace_id"
